epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5073,1.12981,1.21055,1.20817,0.79551,0.82036,0.82187,0.57224,1.04218,0.75416,1.15423,0.000330159,0.000330159,0.0673143
2,81.1406,1.0607,0.78788,1.16093,0.78296,0.82688,0.84532,0.58547,1.06329,0.76639,1.17032,0.000650355,0.000650355,0.0343011
3,120.648,1.05395,0.77283,1.16387,0.75924,0.83664,0.83705,0.5904,1.01374,0.8614,1.14515,0.000957351,0.000957351,0.00127481
4,159.831,1.03511,0.74405,1.14821,0.77182,0.86558,0.85285,0.60589,1.02159,0.69868,1.12587,0.0009406,0.0009406,0.0009406
5,199.015,1.02025,0.71365,1.14382,0.85014,0.8558,0.87088,0.61968,1.01964,0.65752,1.13787,0.0009208,0.0009208,0.0009208
6,238.179,0.99498,0.68982,1.13142,0.83222,0.87527,0.86826,0.62668,1.00483,0.63592,1.11722,0.000901,0.000901,0.000901
7,277.329,0.99286,0.68313,1.13326,0.79254,0.83673,0.85163,0.57405,1.03045,0.70419,1.14433,0.0008812,0.0008812,0.0008812
8,316.54,0.9748,0.67147,1.1232,0.84958,0.88652,0.88718,0.64408,0.96804,0.62694,1.10091,0.0008614,0.0008614,0.0008614
9,355.757,0.97502,0.66204,1.11412,0.81912,0.90248,0.88287,0.65002,0.96126,0.606,1.09211,0.0008416,0.0008416,0.0008416
10,394.831,0.95898,0.63787,1.11573,0.86044,0.88769,0.89624,0.64889,0.96574,0.59839,1.10035,0.0008218,0.0008218,0.0008218
11,434.087,0.95657,0.64337,1.10976,0.83996,0.8879,0.88744,0.65062,0.95762,0.59291,1.09421,0.000802,0.000802,0.000802
12,473.331,0.94634,0.62439,1.10298,0.85737,0.91041,0.9028,0.65778,0.95812,0.57057,1.08875,0.0007822,0.0007822,0.0007822
13,512.474,0.93317,0.61376,1.09729,0.8529,0.90634,0.89972,0.65763,0.94659,0.56467,1.08029,0.0007624,0.0007624,0.0007624
14,551.741,0.93167,0.60211,1.09503,0.87658,0.88033,0.88816,0.65484,0.9412,0.58308,1.07932,0.0007426,0.0007426,0.0007426
15,590.772,0.92217,0.59027,1.08741,0.85181,0.90223,0.8956,0.6553,0.94546,0.57715,1.08349,0.0007228,0.0007228,0.0007228
16,629.861,0.9158,0.59267,1.08722,0.84976,0.90218,0.89454,0.6641,0.94816,0.56267,1.08623,0.000703,0.000703,0.000703
17,669.226,0.90703,0.58306,1.08022,0.85824,0.90565,0.89952,0.66721,0.93737,0.55753,1.07172,0.0006832,0.0006832,0.0006832
18,708.532,0.90211,0.5714,1.07693,0.87453,0.91412,0.91285,0.6706,0.9436,0.5507,1.07829,0.0006634,0.0006634,0.0006634
19,747.901,0.89958,0.57125,1.07584,0.89021,0.9005,0.9097,0.65958,0.94342,0.56033,1.09039,0.0006436,0.0006436,0.0006436
20,787.075,0.89701,0.56434,1.07473,0.88891,0.91289,0.91429,0.67361,0.94691,0.5479,1.07757,0.0006238,0.0006238,0.0006238
21,826.241,0.88706,0.55439,1.07146,0.87682,0.91007,0.90854,0.66896,0.95004,0.54253,1.08478,0.000604,0.000604,0.000604
22,865.433,0.87796,0.54613,1.06344,0.89518,0.91886,0.92044,0.67496,0.93855,0.53472,1.0784,0.0005842,0.0005842,0.0005842
23,904.607,0.87725,0.54582,1.06251,0.91063,0.92167,0.92729,0.67532,0.93292,0.53225,1.07199,0.0005644,0.0005644,0.0005644
24,943.864,0.86869,0.53238,1.05481,0.91009,0.91629,0.9207,0.67743,0.93274,0.52503,1.0774,0.0005446,0.0005446,0.0005446
25,982.989,0.86115,0.52659,1.05379,0.90567,0.91834,0.9207,0.67743,0.92948,0.51879,1.0728,0.0005248,0.0005248,0.0005248
26,1022.17,0.86423,0.52814,1.05549,0.88747,0.93574,0.92675,0.67753,0.94104,0.53273,1.08021,0.000505,0.000505,0.000505
27,1061.4,0.85533,0.52188,1.05523,0.89735,0.91498,0.91791,0.67529,0.92621,0.52589,1.0719,0.0004852,0.0004852,0.0004852
28,1100.59,0.85194,0.51917,1.05185,0.91533,0.92613,0.93456,0.68318,0.93708,0.51802,1.07684,0.0004654,0.0004654,0.0004654
29,1139.84,0.8438,0.51385,1.04672,0.91045,0.92935,0.92451,0.67889,0.93616,0.51717,1.07671,0.0004456,0.0004456,0.0004456
30,1178.96,0.84741,0.50512,1.05319,0.90163,0.93181,0.92979,0.68192,0.93524,0.52376,1.0832,0.0004258,0.0004258,0.0004258
31,1218.02,0.83585,0.4961,1.04168,0.90328,0.91715,0.92033,0.67788,0.93059,0.51078,1.07466,0.000406,0.000406,0.000406
32,1257.04,0.82961,0.49156,1.04555,0.91906,0.92241,0.92749,0.68307,0.92842,0.50831,1.0769,0.0003862,0.0003862,0.0003862
33,1296.19,0.82326,0.48394,1.03322,0.92601,0.92651,0.93376,0.68565,0.94611,0.50347,1.08417,0.0003664,0.0003664,0.0003664
34,1335.41,0.82181,0.48602,1.03635,0.91143,0.92665,0.9304,0.68384,0.9278,0.51353,1.07865,0.0003466,0.0003466,0.0003466
35,1374.54,0.81829,0.47808,1.03479,0.91286,0.92999,0.93027,0.68384,0.92949,0.512,1.08283,0.0003268,0.0003268,0.0003268
36,1413.65,0.81227,0.47481,1.03283,0.91414,0.92823,0.92467,0.68365,0.92643,0.511,1.08006,0.000307,0.000307,0.000307
37,1452.81,0.81081,0.47198,1.02957,0.91477,0.92809,0.92838,0.68403,0.93192,0.5053,1.08495,0.0002872,0.0002872,0.0002872
38,1491.98,0.80283,0.45996,1.02436,0.92069,0.9271,0.93291,0.68856,0.93732,0.50289,1.08255,0.0002674,0.0002674,0.0002674
39,1531.13,0.79765,0.45537,1.02419,0.92335,0.93655,0.93321,0.6853,0.93222,0.50056,1.08221,0.0002476,0.0002476,0.0002476
40,1570.25,0.79097,0.44881,1.02094,0.91792,0.93085,0.93451,0.68649,0.93552,0.49929,1.08177,0.0002278,0.0002278,0.0002278
41,1610.36,0.7973,0.44208,1.02315,0.91326,0.93526,0.9342,0.6848,0.93622,0.50355,1.07831,0.000208,0.000208,0.000208
42,1648.72,0.78724,0.42941,1.01841,0.92012,0.93862,0.93397,0.6858,0.94244,0.49527,1.08344,0.0001882,0.0001882,0.0001882
43,1686.95,0.78362,0.42508,1.01584,0.91973,0.9317,0.93483,0.68757,0.9432,0.49649,1.0866,0.0001684,0.0001684,0.0001684
44,1725.23,0.7742,0.41395,1.01194,0.9174,0.93252,0.93165,0.68629,0.94539,0.49938,1.09887,0.0001486,0.0001486,0.0001486
45,1763.48,0.76247,0.40796,1.00794,0.92448,0.93663,0.93455,0.68577,0.94591,0.50063,1.09946,0.0001288,0.0001288,0.0001288
46,1801.81,0.76044,0.39842,1.0069,0.92531,0.93808,0.93844,0.6879,0.94618,0.49547,1.09942,0.000109,0.000109,0.000109
47,1840.15,0.75573,0.39783,1.00195,0.92732,0.93252,0.93534,0.6863,0.94704,0.4921,1.10109,8.92e-05,8.92e-05,8.92e-05
48,1878.41,0.74786,0.39104,0.99907,0.92528,0.93963,0.93592,0.6877,0.94031,0.48964,1.09471,6.94e-05,6.94e-05,6.94e-05
